지역,석탄,석유,LNG,수력,원자력,신재생/기타,합계
전국,817,0,463,1771,29283,8987,41321
서울,0,0,0,0,0,238,238
부산,0,0,0,0,6256,117,6373
대구,0,0,0,3,0,138,141
인천,0,0,0,5,0,286,291
광주,0,0,0,0,0,58,58
대전,0,0,0,0,0,48,48
울산,0,0,463,0,0,1126,1589
경기,0,0,0,228,0,1158,1386
강원,710,0,0,411,0,834,1955
충북,0,0,0,213,0,455,669
충남,0,0,0,17,0,950,968
전북,0,0,0,160,0,495,655
전남,107,0,0,59,9364,1430,10960
경북,0,0,0,335,13663,1202,1520
경남,0,0,0,312,0,370,682
제주,0,0,0,0,0,81,81
